lon,lat,count
114.36671,30.4603,881
114.36671,30.592694,6187
114.36671,30.600482,270
114.36671,30.612164,4642
114.36671,30.62774,4677
114.37027,30.586853,12927
114.37027,30.598535,1472
114.37027,30.606323,329
114.37027,30.618005,1
114.37027,30.621899,20
114.37383,30.288967,338
114.37383,30.456406,275
114.37383,30.49924,28
114.37383,30.514816,2459
114.37383,30.639421,1972
114.37383,30.834118,1241
114.37383,30.86527,448
114.37739,30.594641,7516
114.37739,30.614111,9327
114.37739,31.213777,745
114.38095,30.347376,1195
114.38095,30.518709,1137
114.38095,30.725088,176
114.38451,30.470035,801
114.38451,30.473929,1
114.38451,30.497293,6738
114.38451,30.505081,97
114.38451,30.508975,1005
114.38451,30.878899,266
114.38807,30.401891,95
114.38807,30.4603,2304
114.38807,30.47977,50
114.38807,30.631634,83
114.39163,30.39605,227
114.39163,30.520656,448
114.39163,30.532338,1645
114.39163,30.727035,291
114.39163,30.76208,288
114.39519,30.464194,3253
114.39519,30.647209,684
114.39519,30.670573,13
114.39875,30.372687,189
114.39875,30.384369,1
114.39875,30.540126,205
114.39875,30.750399,276
114.40231,30.024179,1
114.40231,30.62774,8
114.40231,30.631634,3194
114.405869,30.540126,56
114.405869,30.80102,1313
114.405869,31.104747,3
114.409429,30.413573,106
114.409429,30.60827,851
114.409429,30.631634,2561
114.409429,30.783497,493
114.409429,30.795179,989
114.412989,30.454459,22
114.412989,30.477823,119
114.412989,30.489505,2056
114.412989,30.512869,427
114.412989,30.649156,185
114.412989,31.291656,2
114.416549,30.530391,422
114.416549,30.545967,218
114.416549,30.701724,5582
114.416549,30.713406,52
114.420109,30.520656,139
114.420109,30.555702,87
114.420109,30.703671,250
114.420109,30.715353,1399
114.423669,30.534285,38
114.427229,30.076748,145
114.427229,30.43499,2
114.427229,30.442778,316
114.427229,30.579065,840
114.427229,30.590747,2478
114.427229,30.637475,411
114.427229,30.991823,1845
114.427229,31.03855,1
114.430789,30.491452,5146
114.430789,30.514816,657
114.434349,30.571278,3
114.434349,31.143686,1006
114.437909,30.273391,5
114.437909,30.456406,3183
114.437909,30.4603,2
114.437909,30.491452,258
114.448589,30.594641,488
114.448589,30.614111,1470
114.448589,31.007398,5975
114.452149,30.436937,6745
114.452149,30.448619,42
